         3865833 function calls (3865802 primitive calls) in 411.726 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      242    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:152(__init__)
     5082    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      165    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/_weakrefset.py:85(add)
      331    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      484    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      166    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/_weakrefset.py:53(_commit_removals)
       45    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:112(__exit__)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:837(__init__)
      482    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:301(_term_move_up)
      286    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
     1208    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      166    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/_weakrefset.py:21(__enter__)
        2    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1262(close)
      242    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       41    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/threading.py:311(_acquire_restore)
      166    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1154(__hash__)
      166    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       42    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:648(get_lock)
       41    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/threading.py:302(__exit__)
      286    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       41    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      166    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/_weakrefset.py:17(__init__)
      167    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
      166    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       41    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/threading.py:314(_is_owned)
      242    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:43(__format__)
      242    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:39(__init__)
      242    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:166(colour)
       41    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       41    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/threading.py:308(_release_save)
       41    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/threading.py:299(__enter__)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:574(_decr_instances)
      242    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:162(colour)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:551(__new__)
      124    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/threading.py:601(is_set)
       41    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       41    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:567(_get_free_pos)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:264(_screen_shape_linux)
       41    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
       41    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method fcntl.ioctl}
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:144(__init__)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/_weakrefset.py:110(remove)
        2    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1283(fp_write)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:197(_supports_unicode)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:326(status_printer)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:56(__eq__)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:183(_is_utf)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:87(__init__)
        3    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:83(wrapper_setattr)
        2    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:118(disable_on_exception)
        2    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1150(_comparable)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/_monitor.py:94(report)
        2    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:153(__eq__)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:70(__getattr__)
        1    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:596(<lambda>)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1144(__del__)
        2    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x10054b2b0}
        3    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:225(__init__)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:213(_screen_shape_wrapper)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/multiarray.py:346(where)
        1    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1298(<lambda>)


